Card Number,Card Type,Expiration Date,CVV,Status
2264300678745317,Maestro,11/27,125,1
3565850814036637,VISA 16 digit,12/26,703,1
4277102246507881627,Maestro,08/31,953,1
6011914825398833,VISA 19 digit,04/29,728,1
340714200669021,Mastercard,04/33,735,1
4917943693249975924,JCB 16 digit,10/33,178,1
3596369260990141,VISA 16 digit,05/34,178,1
3535909714452539,JCB 15 digit,10/32,800,1
4757973128835506,VISA 16 digit,04/31,255,1
6576160781761419,American Express,08/29,872,1
4056464474445668,Mastercard,03/26,598,1
639031231520,Discover,09/29,608,1
4317529539141604,Discover,04/28,325,1
3596108088275933,Diners Club / Carte Blanche,02/34,307,1
377197578910472,JCB 16 digit,03/31,831,1
213101631704417,American Express,03/34,354,1
30064370951105,JCB 16 digit,12/24,417,1
379889848677505,VISA 13 digit,08/28,037,1
4683033810633617,Discover,12/27,068,1
345716388157641,JCB 16 digit,06/32,7933,1
4813311449420498755,JCB 15 digit,04/27,114,1
4421820940061609730,VISA 16 digit,09/32,034,1
38948167114111,JCB 15 digit,06/29,3655,1
4338651394015959041,VISA 19 digit,07/28,676,1
180005350222528,Maestro,05/26,981,1
6573819174540549,VISA 19 digit,12/27,212,1
36659154984034,JCB 16 digit,08/28,076,1
3514966920687246,Mastercard,11/27,221,1
2255469906431932,American Express,06/27,285,1
3534494101881302,VISA 19 digit,02/34,430,1
060487566352,JCB 15 digit,07/28,768,1
4218924154515,JCB 16 digit,11/28,761,1
30084058335512,Mastercard,02/25,381,1
373071898115001,VISA 16 digit,07/33,557,1
3512286928892819,VISA 16 digit,08/26,113,1
4047175707948257296,American Express,02/29,880,1
180043467413888,JCB 16 digit,04/26,875,1
4611822580095990,Discover,01/29,092,1
3514991919755242,Maestro,03/31,470,1
4709899880179672457,Diners Club / Carte Blanche,05/30,188,1
2251368876510275,Mastercard,08/27,775,1
503817664777,Discover,03/26,8409,1
6582035067685429,JCB 15 digit,06/26,244,1
4413179486177186,Diners Club / Carte Blanche,06/28,1044,1
4276514042680,VISA 19 digit,09/32,787,1
4041004370119302,VISA 19 digit,12/26,021,1
180028229558815,Maestro,06/33,749,1
375103843084863,American Express,03/31,013,1
2299572448809529,American Express,11/24,496,1
4541194792379,JCB 15 digit,04/33,133,1
30135898948383,Maestro,11/28,366,1
30044732823267,VISA 16 digit,07/30,195,1
676128863344,Diners Club / Carte Blanche,12/26,569,1
3575122379729222,JCB 16 digit,11/30,741,1
4081804639692663,American Express,08/29,642,1
4204789337225902,VISA 16 digit,04/31,269,1
377434753589551,American Express,06/32,855,1
4544128834073839542,JCB 15 digit,11/30,862,1
060443812916,VISA 19 digit,01/27,396,1
4765360980112320297,Diners Club / Carte Blanche,09/28,560,1
6583525907883126,VISA 19 digit,08/33,173,1
2670572551145934,VISA 16 digit,03/28,8807,1
4312458322927240,VISA 16 digit,11/33,791,1
4191357063927324442,Maestro,05/26,737,1
30598727296854,Maestro,10/31,373,1
3516960652891108,VISA 19 digit,03/32,945,1
3560540338428478,VISA 19 digit,05/25,235,1
6011652100615410,VISA 19 digit,10/27,901,1
6516643580916766,American Express,09/26,385,1
375016262424396,JCB 16 digit,10/28,695,1
213135152287972,JCB 16 digit,02/30,6458,1
36499926734692,JCB 16 digit,01/33,989,1
3549281217442654,VISA 16 digit,10/24,746,1
6562435703563929,Discover,11/29,686,1
4744100212219559753,Maestro,12/27,711,1
4949676681431220,Maestro,05/34,527,1
501806504541,VISA 16 digit,07/34,136,1
3500404690533180,JCB 15 digit,10/32,451,1
4532795119905986,JCB 15 digit,06/27,567,1
3541234213739142,VISA 19 digit,04/26,869,1
3544774134863551,JCB 16 digit,04/31,453,1
213174130747195,JCB 16 digit,08/32,416,1
3546783614880470,VISA 13 digit,08/24,185,1
676286585846,VISA 16 digit,02/29,609,1
4572182354927945,VISA 16 digit,07/29,640,1
4253554826892210,Mastercard,04/33,739,1
4447913570127842,Discover,11/28,919,1
4020338162260,VISA 13 digit,01/29,257,1
6011756609002903,Diners Club / Carte Blanche,03/34,8309,1
2720773125946670,VISA 16 digit,03/29,455,1
4668482397138079,JCB 16 digit,09/27,954,1
6519789905699129,JCB 16 digit,04/32,664,1
180081319940609,Maestro,07/32,172,1
6582928190408539,Diners Club / Carte Blanche,11/29,927,1
4808570544520776,VISA 13 digit,09/33,291,1
2275303561270002,VISA 19 digit,09/24,851,1
3581514681843786,Mastercard,02/29,314,1
4079393911763,VISA 19 digit,06/33,585,1
4422519989372,JCB 16 digit,11/33,287,1
4125885570302253,Mastercard,07/29,937,1
373131284182914,Discover,07/27,341,1
2296804987216540,Diners Club / Carte Blanche,01/34,629,1
4913015531187088478,American Express,03/30,297,1
3519318287232981,VISA 16 digit,04/32,126,1
343593376485892,VISA 16 digit,05/29,326,1
3580949797954716,Discover,03/27,601,1
3580937143244213,Mastercard,07/33,115,1
5580839664057534,American Express,04/29,490,1
30444949519007,American Express,03/27,7504,1
4767081145511528,VISA 16 digit,01/26,907,1
4131536561376267,VISA 19 digit,09/26,498,1
676256992667,JCB 15 digit,05/30,012,1
213190505266033,Discover,04/28,113,1
4282347027883558,VISA 19 digit,05/25,304,1
676208859840,VISA 13 digit,11/28,9878,1
377529852592834,VISA 16 digit,07/34,696,1
3508783214398044,JCB 15 digit,12/32,154,1
4611142562556574,Mastercard,09/33,774,1
2707197375156011,Diners Club / Carte Blanche,02/33,023,1
4661720149140,VISA 16 digit,08/31,837,1
503880104909,Mastercard,02/28,179,1
2357629743406242,Maestro,09/26,158,1
6583263147376442,American Express,04/34,787,1
374610721183782,VISA 16 digit,12/31,997,1
676334782551,JCB 16 digit,07/29,358,1
3591943076929983,JCB 16 digit,06/28,338,1
4871595376237,American Express,06/28,728,1
3568168071485638,JCB 16 digit,04/34,547,1
6011590500436310,VISA 13 digit,11/33,820,1
30365497780370,VISA 16 digit,02/33,417,1
6589098808652713,VISA 13 digit,02/30,318,1
4712620381933251241,Maestro,08/25,885,1
4875151015238,Diners Club / Carte Blanche,09/31,652,1
30175480455884,Maestro,11/25,318,1
4864775468074319,JCB 16 digit,12/28,821,1
4340758094667122,VISA 19 digit,04/30,735,1
4701032383537310,JCB 16 digit,08/25,526,1
6011215338395195,JCB 16 digit,06/29,922,1
